2,47,0,0,-94
2,84,0,-57,-196
2,116,0,-59,-150
2,133,0,-36,-88
2,137,0,-50,-187
3,47,0,0,-94
3,84,0,-56,-185
3,116,0,-59,-150
3,137,0,-50,-187
3,806,0,-36,-88
5,103,2,-2,-3
5,47,0,-64,-126
5,84,0,-66,-175
5,116,0,-65,-186
5,133,0,-61,-100
5,137,0,-63,-189
5,141,0,2,-234
5,236,0,0,-185
10,18,2,8,-1
10,30,0,0,-209
10,47,0,5,-87
10,84,0,16,-235
10,116,0,16,-247
10,133,0,3,-71
10,137,0,16,-258
10,235,0,-1,-254
15,49,0,56,-156
15,49,1,-89,-148
15,137,0,-53,-206
19,10,0,-2,-196
19,101,1,-91,-81
19,116,0,-43,-191
19,137,0,-46,-199
19,133,0,-36,-88
19,47,0,21,-121
19,51,0,21,-121
19,84,0,-50,-191
19,234,0,2,-198
19,235,0,1,-225
19,236,0,1,-225
20,18,2,6,1
20,82,0,127,-179
20,82,1,-2,-113
20,84,0,6,-226
20,101,0,0,-22
20,101,1,1,-127
20,103,2,7,2
25,10,0,2,-225
28,133,0,-34,-129
