1,116,0,-54,-137
1,10,0,-9,-218
1,30,0,-60,-294
1,82,0,-38,-202
4,82,0,118,-202
4,82,1,-95,-284
6,82,0,-78,-80
6,82,1,33,-364
7,51,0,-30,-139
7,84,0,-52,-183
7,116,0,-33,-195
7,133,0,-25,-94
7,137,0,-28,-194
7,10,0,-8,-188
7,18,2,-1,1
7,30,0,23,-234
7,49,0,151,-82
7,49,1,65,-50
7,71,0,2,-189
7,79,0,-6,-188
7,82,0,115,-272
7,82,1,0,-211
7,86,0,24,-129
7,86,1,-45,-146
7,87,0,-1,-208
7,101,0,20,-135
7,101,1,-41,-103
7,141,0,-1,-201
7,142,0,0,-183
7,235,0,1,-213
7,234,0,1,-193
7,236,0,0,-213
7,566,0,-5,-192
8,18,2,9,-1
8,84,0,17,-223
8,30,0,-11,-214
8,82,0,147,-177
8,82,1,5,-356
8,87,0,4,-231
8,498,0,5,-10
8,498,1,-120,-69
11,10,0,-15,-178
11,18,2,1,-42
11,30,0,78,-224
11,47,0,2,-168
11,116,0,-60,-172
11,137,0,-34,-218
11,49,0,88,-178
11,49,1,-34,-141
11,71,0,2,-175
11,82,0,107,-322
11,82,1,-125,-260
11,86,0,-72,-192
11,86,1,39,-181
11,141,0,7,-167
11,142,0,-1,-253
12,10,0,0,-216
12,20,0,66,-87
12,20,1,-3,-118
12,30,0,10,-126
12,49,0,113,-76
12,49,1,-97,-63
12,51,0,-53,-110
12,71,0,0,-144
12,82,0,-139,-194
12,82,1,163,-184
12,84,0,-37,-159
12,86,0,32,-104
12,86,1,109,-68
12,87,0,-8,-177
12,101,0,32,-104
12,101,1,109,-68
12,116,0,-14,-132
12,137,0,3,-182
12,141,0,-5,-159
12,142,0,-7,-213
12,234,0,-1,-194
12,236,0,0,-187
12,498,0,68,-85
12,498,1,-7,-126
13,10,0,-10,-242
13,30,0,-72,-173
13,49,0,87,-174
13,49,1,-51,-61
13,82,0,1,-278
13,86,0,-42,-171
13,86,1,40,-152
13,116,0,-26,-216
13,137,0,-32,-181
13,141,0,1,-219
13,142,0,7,-208
14,10,0,-6,-200
14,20,0,-121,-96
14,20,1,7,-32
14,30,0,-72,-155
14,49,0,44,-33
14,49,1,-80,-102
14,82,0,22,-176
14,116,0,-127,-180
14,137,0,-40,-200
14,141,0,2,-224
14,142,0,1,-222
18,10,0,-39,-199
18,18,2,-6,-5
18,30,0,38,-137
18,82,0,-135,-207
18,82,1,147,-199
18,86,0,-98,-108
18,86,1,-4,-154
18,141,0,2,-234
18,235,0,0,-168
18,236,0,0,-184
19,10,0,-4,-205
19,18,2,4,3
19,30,0,-22,-257
19,47,0,-48,-114
19,51,0,-48,-114
19,82,0,-115,-241
19,79,0,1,-211
19,86,0,19,-148
19,86,1,-19,-127
19,137,0,-10,-252
19,234,0,-3,-221
21,82,0,1,-129
21,82,1,-147,-203
23,10,0,8,-198
23,30,0,-2,-244
23,82,0,139,-249
23,82,1,-121,-236
23,235,0,4,-235
24,10,0,-4,-205
24,18,2,3,4
24,47,0,-47,-113
24,51,0,-47,-113
24,82,0,-63,-251
24,86,0,21,-149
24,86,1,-19,-127
24,101,1,-88,-81
24,137,0,-47,-241
24,234,0,-3,-221
24,566,0,1,-210
27,82,0,130,-131
27,82,1,-120,-176
31,10,0,-30,-204
31,18,0,-3,-5
31,20,0,6,-2
31,20,1,-131,-69
31,30,0,75,-112
31,47,0,-64,-126
31,49,0,-43,-87
31,49,1,-118,-109
31,71,0,2,-218
31,79,0,-4,-170
31,82,0,-45,-268
31,82,1,31,-305
31,84,0,-66,-175
31,86,0,-86,-112
31,86,1,19,-164
31,87,0,-30,-181
31,101,0,-82,-114
31,101,1,6,-158
31,103,2,-2,-3
31,116,0,-65,-186
31,133,0,-61,-100
31,137,0,-63,-189
31,141,0,2,-234
31,142,0,0,-232
31,235,0,0,-187
31,234,0,0,-196
31,236,0,0,-183
31,498,0,8,11
31,498,1,-136,-61
31,566,0,0,-168
